Company Name,Company Description,Website URL,Linkedin URL,Careers Page URL,Job listings page URL,job post1 URL,job post1 title,job post2 URL,job post2 title,job post3 URL,job post3 title
Node energy,Optimize energy systems for real estate to cut CO2 emissions and costs.,https://cfpub.epa.gov/ncer_abstracts/index.cfm/fuseaction/display.abstractDetail/abstract_id/10102/report/0,https://www.linkedin.com/company/nodeenergy,https://www.epa.gov/careers/fellowships-scholarships-and-post-doctoral-opportunities,https://www.epa.gov/careers/fellowships-scholarships-and-post-doctoral-opportunities,https://www.epa.gov/careers/fellowships-scholarships-and-post-doctoral-opportunities#nsf,National Science Foundation Internship Opportunities at EPA,https://nsf.gov/pubs/2018/nsf18069/nsf18069.jsp,NSF Graduate Research Fellowship Program (GRFP) - Graduate Research Internship Program (GRIP),https://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf18102,NSF Non-Academic Research Internships for Graduate Students (INTERN) Supplemental Funding Opportunity
Exponent Energy,Accelerating the energy shift to scale electric vehicles globally.,https://dfkcompany.com/exponent-energy/,https://in.linkedin.com/company/exponent-energy,,,,,,,,
HITACHI ENERGY,Advancing sustainable energy systems towards a carbon-neutral future.,https://japanese.stackexchange.com/questions/101193/is-atashita-short-for-atashitachi,https://tr.linkedin.com/company/hitachienergy,,,,,,,,
Eurofins,"Analytical testing services promoting safer, healthier, and more sustainable environments globally.",https://www.eurofins.com/media-centre/press-releases-2014/2014-05-21/,https://es.linkedin.com/company/eurofins-consumer-product-testing,https://careers.eurofins.com/,https://careers.eurofins.com/,https://careers.eurofins.com/jobs/?contractId=4,Internships,https://jobs.smartrecruiters.com/Eurofins/744000043905645-business-unit-manager-biopharma-product-testing-czech-republic,General ManagementBUSINESS UNIT MANAGER BIOPHARMA PRODUCT TESTINGLeverage your business experience in the pharmaceutical sector and a passion for leadership to direct our BioPharma Product Testing operations in the Czech Republic.view opportunity,https://jobs.smartrecruiters.com/Eurofins/744000085294513-business-developer,"Commercial & Customer CareBUSINESS DEVELOPERHelp expand our Forensic Services operations in Bruges, Belgium, by building key partnerships and customer trust.view opportunity"
Contact Energy,"Driving New Zealand's transition to reliable, low-carbon renewable energy.",https://support.google.com/contacts/?hl=en,https://dk.linkedin.com/company/contactenergy,,,,,,,,
Amini,Building Africa's environmental data infrastructure with AI to address climate challenges.,https://amini-official.com/,https://www.linkedin.com/company/hp,,,,,,,,
Landis+Gyr,Empowering a smarter grid for reduced environmental footprints and energy efficiency worldwide.,https://www.landisgyr.com/,https://www.linkedin.com/company/landis/,https://careers.landisgyr.com/?utm_source=corpsite&utm_campaign=corporate_website,https://careers.landisgyr.com/?utm_source=corpsite&utm_campaign=corporate_website,,,,,,
Blockchain & Climate Institute,"Empowering climate action with blockchain, AI, and IoT for a sustainable future.",https://www.chinausfocus.com/finance-economy/blockchain-and-climate-a-new-energy-frontier,https://uk.linkedin.com/company/blockchainclimateinstitute,,,,,,,,
Environmental Resources Management,"Strategic consultancy accelerating global sustainability, enabling low-carbon futures and advancing ESG priorities worldwide.",https://www.epa.gov/,https://in.linkedin.com/company/everenviro-resource-management-private-limited,https://www.epa.gov/careers,https://www.epa.gov/careers,,,,,,
Emitwise,"Our mission is to accelerate the world�s transition to net zero carbon, but we need to move quickly.",https://emitwise.com/,https://www.linkedin.com/company/emitwise,https://emitwise.com/careers/,https://emitwise.com/careers/,https://emitwise.com/resources/blog/the-engineer-how-ai-is-driving-net-zero-goals/,The Engineer: How AI is driving net zero goals,,,,
Vattenfall,Pioneering fossil-free energy for a sustainable future.,https://news.cision.com/vattenfall?k=offshore+wind,https://ad.linkedin.com/company/nova,,,,,,,,
EcoVadis,Empowering companies with actionable insights to improve sustainability and reduce environmental impact.,https://ecovadis.com/,https://www.linkedin.com/company/ecovadis/,https://ecovadis.com/careers/,https://ecovadis.com/careers/,https://careers.smartrecruiters.com/ecovadis/internships,Internships,https://careers.smartrecruiters.com/ecovadis/engineering,Engineering12 jobs,https://careers.smartrecruiters.com/ecovadis/internships,Internships
Fastmarkets Ltd,"Empowering strategic decisions with market insights and networking in volatile, opaque markets.",https://www.fastmarkets.com/events/middle-east-iron-steel/,https://www.linkedin.com/company/fastmarkets/,https://www.fastmarkets.com/about-us/careers/,https://www.fastmarkets.com/about-us/careers/,,,,,,
Grid Edge,"AI-driven solutions for energy optimization, transforming buildings into smart, sustainable participants in the energy system.",https://nomadit.co.uk/conference/easa2020/p/8652,https://vn.linkedin.com/company/grid-edge,,,,,,,,
One � f?ve,"Circular, cleaner, tailor-made packaging to reduce consumer goods industry�s environmental impact.",https://english.stackexchange.com/questions/64835/one-to-one-vs-one-on-one,https://ae.linkedin.com/company/abdelmeneim-buzayan-auto-spare-parts-l-l-c-/,,,,,,,,
Flower ?,"Powering renewable efficiency with software for flexible, sustainable energy systems.",https://www.1800flowers.ca/,https://www.linkedin.com/company/flower-knows-cosmetics,,,,,,,,
Beam,Beam helps accelerate the transition to renewable energy focusing on offshore wind,https://beamtx.com/,https://www.linkedin.com/company/wearebeam/,https://beamtx.com/careers/,https://beamtx.com/careers/,https://beamtx.com/careers/internships-and-co-ops/,Internships and Co-ops,https://beamtx.com/careers/internships-and-co-ops/,Internships and Co-ops,,
PVcase,Revolutionizing solar design to maximize yield and reduce carbon footprints globally.,https://www.bing.com/aclick?ld=e8lJKiwg2-_ZGKbEie-GwbJTVUCUzrSuvqJGkfAe8kp3uKl8q4N_6LPjGw4PLJtzOea4rjeraNCpz6ho9MYtRJsH9NvR7yfQmoFW1cTL9pMW8aDoHnE4JSKCkDx0zLBxSS2ntpz-_yPWzkj0isGzyTb0TKn7wwS3W9iaRiISI8pHO2fW2_VNm0zVMQM_39RNrKWKiVH39cBJQK68hlu0VVx6r5wxY&u=aHR0cHMlM2ElMmYlMmZnZXQucHZjYXNlLmNvbSUyZnB2LWdyb3VuZC1tb3VudCUzZnV0bV9jYW1wYWlnbiUzZDQuMF9HX1NfQnJhbmRfSW5kaWFfTEclMjZ1dG1fc291cmNlJTNkYmluZyUyNnV0bV9tZWRpdW0lM2RjcGMlMjZ1dG1fa2V5d29yZCUzZHB2Y2FzZSUyNnV0bV90ZXJtJTNkcHZjYXNlJTI2dXRtX2NhbXBhaWduJTNkNC4wX0dfU19CcmFuZF9JbmRpYV9MRyUyNnV0bV9zb3VyY2UlM2RiaW5nJTI2dXRtX21lZGl1bSUzZGNwYyUyNmhzYV9hY2MlM2Q3MzU2MTgyOTk0JTI2aHNhX2NhbSUzZDIwNTA5MTU2NTI2JTI2aHNhX2dycCUzZDEzMzA0MTE0NzEyNzEyMzIlMjZoc2FfYWQlM2QlMjZoc2Ffc3JjJTNkbyUyNmhzYV90Z3QlM2Rrd2QtODMxNTE3NjcyNDQxODYlM2Fsb2MtOTAlMjZoc2Ffa3clM2RwdmNhc2UlMjZoc2FfbXQlM2RwJTI2aHNhX25ldCUzZGFkd29yZHMlMjZoc2FfdmVyJTNkMyUyNm1zY2xraWQlM2Q1ZmI2MjQxYTllYjgxMGY2Yzk5ZDRkMTIzMWUyYWM1MA&rlid=5fb6241a9eb810f6c99d4d1231e2ac50,https://www.bing.com/aclick?ld=e8Il-4Z1OWKkrEWoqmQSoP2zVUCUzSf5Z44LpTwbhDfs72T7SAZwVrbFipM-4rNsyndK6IC4WhbZXXQoPCBKrvrnfmEz9FIFcZ_F4J3swX4mcgsmIpO6xTKJ-Cg5YcnzpeQhcsmE3_PG0uSwY0nahPJe5doakx8JlNDxy6n-Z7tAlfTZ5y2-Zo_PzxZWPgx69ZfUe_TdqO8rjniSl65IIloKDS-84&u=aHR0cHMlM2ElMmYlMmZnZXQucHZjYXNlLmNvbSUyZnB2LWdyb3VuZC1tb3VudCUzZnV0bV9jYW1wYWlnbiUzZDQuMF9HX1NfQnJhbmRfSW5kaWFfTEclMjZ1dG1fc291cmNlJTNkYmluZyUyNnV0bV9tZWRpdW0lM2RjcGMlMjZ1dG1fa2V5d29yZCUzZHB2Y2FzZSUyNnV0bV90ZXJtJTNkcHZjYXNlJTI2dXRtX2NhbXBhaWduJTNkNC4wX0dfU19CcmFuZF9JbmRpYV9MRyUyNnV0bV9zb3VyY2UlM2RiaW5nJTI2dXRtX21lZGl1bSUzZGNwYyUyNmhzYV9hY2MlM2Q3MzU2MTgyOTk0JTI2aHNhX2NhbSUzZDIwNTA5MTU2NTI2JTI2aHNhX2dycCUzZDEzMzA0MTE0NzEyNzEyMzIlMjZoc2FfYWQlM2QlMjZoc2Ffc3JjJTNkbyUyNmhzYV90Z3QlM2Rrd2QtODMxNTE3NjcyNDQxODYlM2Fsb2MtOTAlMjZoc2Ffa3clM2RwdmNhc2UlMjZoc2FfbXQlM2RlJTI2aHNhX25ldCUzZGFkd29yZHMlMjZoc2FfdmVyJTNkMyUyNm1zY2xraWQlM2QyZDlhMmQ0ZDcyZDIxYTFlOTk5MDQ0NDVkZDhmN2U0Mg&rlid=2d9a2d4d72d21a1e99904445dd8f7e42,,,,,,,,
Vertical Aerospace,"Revolutionizing personal air travel with on-demand, carbon-free aircraft.",https://english.stackexchange.com/questions/56472/x-y-z-horizontal-vertical-and,https://www.linkedin.com/company/vertical-aerospace-ltd/,,,,,,,,
AMPECO,Accelerating global EV charging infrastructure for a sustainable future.,https://www.ampeco.com/ev-charging-platform/plans-and-tariffs/,https://www.linkedin.com/company/ampeco/,https://www.ampeco.com/careers/,https://www.ampeco.com/careers/,https://developers.ampeco.com/,Developer Hub,https://developers.ampeco.com/,Developer Hub,https://developers.ampeco.com/,Developer Hub
Einride,"Revolutionizing freight transport to be emission-free, safe, and sustainable.",https://www.einride.tech/,https://www.linkedin.com/company/einride,https://careers.einride.tech,https://careers.einride.tech,,,,,,
Climate Analytics Inc.,"Driving climate action through science, policy support, and global policy analysis.",https://climateanalytics.org/,https://np.linkedin.com/company/climate-analytics,https://climateanalytics.org/about-us/work-with-us,https://climateanalytics.org/about-us/work-with-us,,,,,,
National Park City Foundation,"Transforming urban areas into greener, healthier, and wilder National Park Cities.",https://www.bing.com/aclick?ld=e8WI-iZSpv6Y4jvK-IQr2X0DVUCUwxuWGmtUKtZet2P4ybFIleDZeTn3GvFF1UR6vocNzn39a2lUqGhwxvlVp5WnNkfjKKYE3hF6E-J69HVc_ilfC5JUzaSD3aWDqGTEdn-kytyVynSLYQt7Ikgnp2WDs3s-eEiEoG6nOrruUcMfIO_1OITM6Bx6eaAZ5zzPGPPlpEDd79RPwBLjIqSrhPS-nf37Q&u=aHR0cHMlM2ElMmYlMmZzZWN1cmUucGFya3Njb25zZXJ2YW5jeS5vcmclMmZzaXRlJTJmU1BhZ2VOYXZpZ2F0b3IlMmZKb2luX3RoZV9QYXJrc19Db25zZXJ2YW5jeTMuaHRtbCUzZmF1dG9sb2dpbiUzZHRydWUlMjZzX3NyYyUzZEJTJTI2c19zdWJzcmMlM2RBZHNfSm9pbiUyNnV0bV9zb3VyY2UlM2RhZHMlMjZ1dG1fbWVkaXVtJTNkYnMlMjZ1dG1fY2FtcGFpZ24lM2RKb2luJTI2bXNjbGtpZCUzZGY4NWY4ZTcyM2E0MTFlYjE1ZGU2ZTc3YTk1Mzc4YTk4&rlid=f85f8e723a411eb15de6e77a95378a98,https://www.bing.com/aclick?ld=e8Jxbaeo9QvfI6UUcJYqOxnjVUCUy6wFtTg8-NJzvOe_4RCDjYUvWMq1Cyp4weqmn193vOxCbtw8G0cjE0kB2TjppTRbBRVG3jEMtXzQOuI-0lsxmfIJhvU7dZNdOCQpdNPu0Br6o2TbhHf3l7OOn8PGc4KDnTz7SvSWtlNBMB_ZdNrFEunT5zLhnbNHSvEIkIfTmOBgPjdvt7sMA1Q7B5tJj3ojk&u=aHR0cHMlM2ElMmYlMmZzZWN1cmUucGFya3Njb25zZXJ2YW5jeS5vcmclMmZzaXRlJTJmU1BhZ2VOYXZpZ2F0b3IlMmZKb2luX3RoZV9QYXJrc19Db25zZXJ2YW5jeTMuaHRtbCUzZmF1dG9sb2dpbiUzZHRydWUlMjZzX3NyYyUzZEJTJTI2c19zdWJzcmMlM2RBZHNfSm9pbiUyNnV0bV9zb3VyY2UlM2RhZHMlMjZ1dG1fbWVkaXVtJTNkYnMlMjZ1dG1fY2FtcGFpZ24lM2RKb2luJTI2bXNjbGtpZCUzZGQxZjA2ZGQ5MTY4NDFlOTE2MjVmMDRkMWI5ZmNmMGE5&rlid=d1f06dd916841e91625f04d1b9fcf0a9,,,,,,,,
OVO Energy,"Making energy cheaper, greener, and simpler for a sustainable future.",https://www.culinaryschools.org/kids-games/ovo/,https://www.linkedin.com/company/ovoenergy/,,,,,,,,
Pivotal Future,Building a future-ready economy balancing business growth with positive environmental impact.,https://www.merriam-webster.com/dictionary/pivotal,https://www.linkedin.com/company/pivotalfuture,,,,,,,,
Ecoworks,"Revolutionizing multi-family housing with rapid, eco-friendly modernizations through pre-fabrication and efficient energy systems.",https://www.ecoworks-studio.com/services,https://www.linkedin.com/company/ecoworks,https://www.ecoworks-studio.com/jobs,https://www.ecoworks-studio.com/jobs,,,,,,
ICAP Energy AS,Driving sustainable markets with innovative energy and commodities brokering.,https://icap.com/energy-commodities,https://www.linkedin.com/company/icap-energy,https://tpicap.com/tpicap/careers,https://tpicap.com/tpicap/careers,,,,,,
Freudenberg,Tailor-made emission-neutral energy systems for sustainable heavy-duty e-mobility.,http://www.siegerland.net/freudenberg/e/feedb.htm,https://www.linkedin.com/company/freudenberg-group,,,,,,,,
T�V S�D America,Enabling safer technology to protect the environment and ensure a sustainable future.,https://krnlexecutors.org/,https://www.linkedin.com/company/redfin-developments,,,,,,,,
Wartsila,Innovative tech and services advancing global decarbonization and sustainability.,https://online.wartsila.com/api-auth/login?path=/,https://jo.linkedin.com/company/wartsila,,,,,,,,
AFRY Management Consulting,"Accelerating sustainable change across energy, bioindustry, infrastructure, and mobility globally.",https://afry.com/en/offerings/afry-management-consulting,https://in.linkedin.com/company/afry,https://afry.com/en/join-us,https://afry.com/en/join-us,https://afry.com/en/area/waterways-and-hydraulic-engineering?sector=1425,Waterways and hydraulic engineering,https://afry.com/en/join-us/students-and-graduates,Students and Graduates International,,
Samsara Eco,"Innovative enzymatic tech enables endless recycling of plastics, reducing waste and conserving resources.",https://www.samsaraeco.com/,https://au.linkedin.com/company/samsara-eco,,,,,,,,
Aerobotics,Optimizing crop performance globally with aerial imagery to enhance farming sustainability.,https://www.leadsontrees.com/organization/aerobotics,https://www.linkedin.com/company/aerobotics,https://www.leadsontrees.com/organization/aerobotics?section=careers,https://www.leadsontrees.com/organization/aerobotics?section=careers,,,,,,
Aggreko,Innovative energy solutions reducing environmental impact globally.,https://www.aggreko.com/,https://www.linkedin.com/company/aggreko/,https://careers.aggreko.com/as/en,https://careers.aggreko.com/as/en,,,,,,
Aliaxis,Supporting water and clean energy with innovative pipes and fittings,https://www.aliaxis-la.com/en/,https://www.linkedin.com/company/aliaxis/,,,,,,,,
Tomra,"Advanced systems optimizing resource recovery for a circular, waste-minimized economy.",https://www.tomra.com/,https://www.linkedin.com/company/tomra,,,,,,,,
BlueLayer,"Empowering carbon project developers to drive removal, protect nature, and restore ecosystems efficiently.",https://bluelayer.io/,https://de.linkedin.com/company/getbluelayer,https://bluelayer.bamboohr.com/careers,https://bluelayer.bamboohr.com/careers,,,,,,
Envelio,"Combat air pollution for a cleaner, healthier planet.",https://us.envelio.com/,https://www.linkedin.com/company/envelioinc,https://us.envelio.com/careers?hslang=en-us,https://us.envelio.com/careers?hslang=en-us,,,,,,
ONYX Insight,"Predictive analytics to optimize wind energy, boosting production and minimizing downtime globally.",https://onyxcollection.com/,https://www.linkedin.com/company/onyx-insight,,,,,,,,
Agreena,Minting carbon credits to incentivize regenerative farming for a greener future.,https://carboncredits.com/scaling-sustainable-farming-agreenacarbons-2-3-million-verified-carbon-credits-redefine-regenerative-agriculture/,https://dk.linkedin.com/company/agreena,,,,,,,,
Ofload,Optimizing freight to reduce emissions and create sustainable supply chains across Australia.,https://linkstock.net/ofload/,https://au.linkedin.com/company/ofload,,,,,,,,
Enlight Renewable Energy,"Scaling global solar, wind, and energy storage for a sustainable future.",https://enlightenergy.co.il/info/about/,https://il.linkedin.com/company/enlight-renewable-energy-ltd-enlt-,https://enlightenergy.co.il/info/careers/,https://enlightenergy.co.il/info/careers/,https://enlightenergy.co.il/data/engineering-and-procurement/,Engineering & Procurement,https://enlightenergy.co.il/data/engineering-and-procurement/,Engineering & Procurement,https://a-2-z.co.il/,a-2-z International Internet Marketing
Xpeng Motors,"Pioneering intelligent EVs and eVTOLs for a sustainable, eco-friendly future.",https://www.xpeng.com/,https://www.linkedin.com/company/xpengmotorsglobal,https://xiaopeng.jobs.feishu.cn/963247/?spread=q3n5bc5,https://xiaopeng.jobs.feishu.cn/963247/?spread=q3n5bc5,,,,,,
Raylo,"Empowering circular economy with sustainable, affordable lease-and-reuse of consumer goods.",https://www.raylo.com/,https://www.linkedin.com/company/raylo,https://app.screenloop.com/careers/raylo/,https://app.screenloop.com/careers/raylo/,,,,,,
BackMarket,"Marketplace for restored gadgets, reducing e-waste and promoting sustainable tech consumption.",https://www.backmarket.com/en-us/e/good-deals,https://www.linkedin.com/company/back-market,https://jobs.backmarket.com,https://jobs.backmarket.com,https://jobs.backmarket.com/en-us/careers/home/engineering,Engineering,,,,
Protera,"Cutting-edge protein tech for sustainable, nutritious food and reduced environmental impact.",https://www.protera.com/end-user-services,https://www.linkedin.com/company/protera,https://www.protera.com/sap/careers,https://www.protera.com/sap/careers,,,,,,
Stora Enso,"Innovative, renewable solutions for paper, biomaterials, and packaging, reducing carbon footprint globally.",https://www.storaenso.com/en/about-stora-enso,https://www.linkedin.com/company/stora-enso/,,,,,,,,
Memodo,Empowering sustainable energy solutions with a comprehensive range of solar and storage systems.,https://krnlexecutors.org/,https://de.linkedin.com/company/memodo-gmbh-und-co-kg,,,,,,,,
Climate X,"Evaluate your organization's climate risk with comprehensive, integrated physical risk insights.",https://www.climate-x.com/,https://hk.linkedin.com/company/climate-x,,,,,,,,
Scatec Solar,"Delivering affordable, sustainable solar power worldwide with a 600 MW installation track record.",https://scatec.com/2020/03/04/scatec-solar-completes-first-solar-hybrid-project-for-unmiss-in-south-sudan/?archive=1,https://no.linkedin.com/company/scatec,https://scatec.com/work-with-us/,https://scatec.com/work-with-us/,,,,,,
Centrica Energy,"Driving global green energy transition with sustainable, predictable energy trading.",https://centricaenergy.com/,https://www.linkedin.com/company/centricaenergy,https://centricaenergy.com/career/,https://centricaenergy.com/career/,,,,,,
Enpal,"Powering Europe's renewable future with flexible, hassle-free solar solutions. Join the green energy revolution.",https://www.enpal.com/,https://lu.linkedin.com/company/enpal,https://jobs.enpal.com,https://jobs.enpal.com,,,,,,
ProVeg International,Transforming global food systems to plant-based alternatives for a sustainable future.,https://proveg.org/,https://www.linkedin.com/company/proveginternational,https://proveg.org/careers/,https://proveg.org/careers/,https://proveg.org/fast-food-ranking/,International Fast Food Ranking,https://proveg.org/fast-food-ranking/,International Fast Food Ranking,https://proveg.jobs.personio.de/job/2276237,(Senior) Strategic Program Manager for ProVeg ChinaChina RemotePermanentProVeg China
Renewable Energy Systems,Driving global clean energy with 22 GW new capacity in next five years.,https://www.mastersportal.com/studies/19915/renewable-energy-systems-technology.html,"https://duckduckgo.com/y.js?ad_domain=gatesnotes.com&ad_provider=bingv7aa&ad_type=txad&click_metadata=M-vGcxAusH4cvL6iwKZSRKJWCjGuZmK1PMpdSuvHg8PBypS9u_ReG11J-kuDR13vOuB5WqqK9lvG7PEPPDtQiOAKdHfoKfiOJjmaTOkk-DJszGD8JD7Fq7-dM41FvVyb4tK3x11Xw94SI5c0b0jw3A.P_tvu48nt93Cm5Nk8f2IbQ&rut=c9b3faae4887ce4bc2e005fe7651734e8813d9c3fdd6e8bc3b89d2a39a935348&u3=https://www.bing.com/aclick?ld=e84N2e3uYHI2krKQpNrMkiYzVUCUxStZ8YR4Xbj2Y91DC98icZCAKt6C-wUizHbr2C3PUNEQCxCuiuCZPu4B2tOCpBLXSHkVGSsezYSP-OF-LQ5Ix6Qkth0sInC36je9p4aQt1q1R_cn5fQ_ISUzFZ8xI0rIpuqDxWJvtTA4v61XM7BqE9b7dHt3X5IXOmuaZx8W8OV3XAwqJ_2ELPWD-QkgW56JE&u=aHR0cHMlM2ElMmYlMmZ3d3cuZ2F0ZXNub3Rlcy5jb20lMmZ1dGFocy1ob3R0ZXN0LW5ldy1wb3dlci1zb3VyY2UtaXMtYmVsb3ctdGhlLWdyb3VuZCUzZldULm1jX2lkJTNkMjAyNTA5MzAxMDAwMDBfRmVydm9fVEdOLVBiaW5nJTI2bXNjbGtpZCUzZGUwYjI2MjEzYWEwOTEyYjY3ZGRhMGIxYjFhM2NlNjY3&rlid=e0b26213aa0912b67dda0b1b1a3ce667&vqd=4-95080846065579416596179066506288437897&iurl={1}IG=1DD2B2F93A3747B091C41244B8704BE9&CID=0A484EEEAAD3645D05E25877ABB365CB&ID=DevEx,5045.1",,,,,,,,
CDP Global,Global environmental disclosure leader empowering organizations with rich data for sustainable impact and innovation.,https://www.cdp.net/en,https://www.linkedin.com/company/cdp-worldwide/,https://www.cdp.net/en/careers,https://www.cdp.net/en/careers,,,,,,
GreenFlux,Empowering e-mobility networks to accelerate sustainable transportation.,https://answers.microsoft.com/ja-jp/outlook_com/forum/all/ヤフーメー/6b5275ec-d360-48a6-a4f7-c57ca267b686,https://www.linkedin.com/company/greenflux,,,,,,,,
Navvis,Transforming physical spaces into digital twins for enhanced productivity and sustainability.,https://web.whatsapp.com/,https://www.linkedin.com/company/navvis/,,,,,,,,
Gropyus,"Innovative tech for truly sustainable, affordable, and resource-conserving buildings.",https://www.gropyus.com/process,https://www.linkedin.com/company/gropyus,https://www.gropyus.com/careers,https://www.gropyus.com/careers,,,,,,
Enter,Optimize home energy efficiency with tailored upgrades and maximize savings and subsidies.,https://www.enter-world.com/,https://in.linkedin.com/company/enterrecruitment,,,,,,,,
Pioneer Transformers,Custom liquid-filled transformers designed for energy-efficient and sustainable electrical solutions.,https://pioneertransformers.com/,https://www.linkedin.com/company/transformateurs-pioneer-transformers,https://pioneertransformers.com/careers/,https://pioneertransformers.com/careers/,,,,,,
International Council on Clean Transportation,Advancing eco-friendly and energy-efficient transport for a healthier planet.,https://mexico.internationaltrucks.com/,https://pg.linkedin.com/company/the-international-council-on-clean-transportation,,,,,,,,
BoxPower Inc.,"Modular microgrids delivering clean, reliable energy as a diesel generator alternative.",https://apps.facebook.com/help/instagram/553970941289985/?helpref=uf_permalink,https://www.linkedin.com/company/boxpower,,,,,,,,
Global Energy Monitor,Empowering sustainable energy with open-access data on global infrastructure and resources.,https://globalenergymonitor.org/,https://www.linkedin.com/company/global-energy-monitor,https://globalenergymonitor.org/about/jobs/,https://globalenergymonitor.org/about/jobs/,https://globalenergymonitor.org/wp-content/uploads/2024/02/GEM-Benefits-Leave-Deel-Employees-1.pdf,Benefits for International Employees,,,,
World Resources Institute,"Driving sustainable solutions for climate, energy, water, and more to secure a sustainable future.",https://www.wri.org/,https://www.linkedin.com/company/world-resources-institute/,https://jobs.jobvite.com/wri/jobs/,https://jobs.jobvite.com/wri/jobs/,https://jobs.jobvite.com/wri/jobs/internships,Internships,https://jobs.jobvite.com/wri/jobs/internships/,Internships,,
Everlight Solar,"Hassle-free, affordable solar energy solutions with no upfront cost for homeowners.",https://solarpowersystems.org/installers/broco-solar-review/,https://www.linkedin.com/company/everlight-solar,,,,,,,,
Serve Robotics,"Zero-emissions robots revolutionizing sustainable, self-driving food delivery.",https://www.serverobotics.com/,https://de.linkedin.com/company/serverobotics,https://www.serverobotics.com/careers,https://www.serverobotics.com/careers,,,,,,
Common Energy,Switch to clean energy and reduce your carbon footprint in minutes.,https://forum.nationstates.net/viewtopic.php?f=6&t=219758,https://www.linkedin.com/company/common-energy/,,,,,,,,
Scout Motors,Reimagining iconic American SUVs as next-gen all-electric trucks for a sustainable future.,https://www.scoutmotors.com/,https://www.linkedin.com/company/scoutmotors,https://www.scoutmotors.com/careers,https://www.scoutmotors.com/careers,,,,,,
Re:Build Manufacturing,Revitalizing U.S. manufacturing with cutting-edge tech for a sustainable future.,https://rebuildmanufacturing.com/,https://www.linkedin.com/company/re-build-manufacturing,https://rebuildmanufacturing.com/careers/,https://rebuildmanufacturing.com/careers/,,,,,,
Via Transporation,"Transforming global transport systems into efficient, affordable, and sustainable networks with cutting-edge software.",https://climatebase.org/company/1133858/via-transporation,https://www.linkedin.com/company/ridewithvia,,,,,,,,
Lucid Motors,Innovative electric vehicles redefining sustainable mobility and elevating the driving experience.,https://lucidmotors.com/,https://www.linkedin.com/company/lucidmotors,https://lucidmotors.com/careers,https://lucidmotors.com/careers,https://lucidmotors.com/careers/search?search=intern,View Internship Opportunities,,,,
Outrider,Automating yard operations with zero-emission systems for sustainable freight transportation.,https://unseenlibrary.com/tag/outrider/,https://www.linkedin.com/company/outriderstrategies,,,,,,,,
Base Power Company,Revolutionizing home energy with distributed batteries for grid support and outage protection at low cost.,https://www.lego.me/en-bh,https://www.linkedin.com/company/basepowercompany,,,,,,,,
